request_id,successful,ttft,request_latency,num_input_tokens,num_output_tokens,decode_speed,submit_time,first_token_time,finish_time,error
doc1_q0,True,0.9509594440460205,25.593653440475464,6013,128,5.194237286659742,1781466475.2034683,1781466476.1544278,1781466500.7971218,
doc3_q0,True,0.9495515823364258,25.594436407089233,6013,128,5.193775540449654,1781466475.2053354,1781466476.154887,1781466500.7997718,
doc0_q0,True,0.9532933235168457,25.598342180252075,6013,128,5.1937409718308984,1781466475.2019298,1781466476.1552231,1781466500.800272,
doc6_q0,True,0.9477765560150146,25.592944383621216,6013,128,5.193715899821191,1781466475.2077715,1781466476.155548,1781466500.800716,
doc2_q0,True,0.9514029026031494,25.59664821624756,6013,128,5.193699570486118,1781466475.2044666,1781466476.1558695,1781466500.8011148,
doc4_q0,True,0.9500172138214111,25.59532618522644,6013,128,5.193686155386135,1781466475.2061586,1781466476.1561759,1781466500.8014848,
doc11_q0,True,1.6604745388031006,26.148667812347412,6014,128,5.227008729071251,1781466475.212083,1781466476.8725576,1781466501.360751,
doc9_q0,True,1.6624271869659424,26.150419235229492,6013,128,5.227051680992216,1781466475.2104924,1781466476.8729196,1781466501.3609116,
doc7_q0,True,1.6643075942993164,26.152072429656982,6013,128,5.227100180869996,1781466475.2089324,1781466476.87324,1781466501.3610048,
doc10_q0,True,1.6624622344970703,26.149808406829834,6014,128,5.2271895492138665,1781466475.2112772,1781466476.8737395,1781466501.3610857,
doc8_q0,True,1.6643257141113281,26.151451110839844,6013,128,5.227236677486889,1781466475.2097201,1781466476.8740458,1781466501.3611712,
doc14_q0,True,1.6598267555236816,26.146740913391113,6014,128,5.227281770776933,1781466475.2145169,1781466476.8743436,1781466501.3612578,
doc15_q0,True,1.6593446731567383,26.146053314208984,6014,128,5.227325643324989,1781466475.2152956,1781466476.8746402,1781466501.3613489,
doc5_q0,True,1.668159008026123,26.154528856277466,6013,128,5.227397968471873,1781466475.2069464,1781466476.8751054,1781466501.3614752,
doc12_q0,True,1.6627881526947021,26.148751497268677,6014,128,5.227484751110047,1781466475.212845,1781466476.8756332,1781466501.3615966,
doc13_q0,True,1.6623377799987793,26.14810824394226,6014,128,5.227525929334607,1781466475.2135904,1781466476.8759282,1781466501.3616986,
doc16_q0,True,0.5580153465270996,24.99320125579834,6014,128,5.23834770380994,1781466500.8019388,1781466501.359954,1781466525.79514,
doc20_q0,True,1.0024735927581787,25.348065614700317,6014,128,5.25762527707835,1781466500.8277657,1781466501.8302393,1781466526.1758313,
